instance,seed,n_assets,cardinality,risk_aversion,penalty_multiplier,penalty,selected_cardinality,cardinality_violation,feasible,base_objective,exact_constrained_objective,feasible_gap,qubo_energy
21,2047,10,3,0.5,0.1,0.15896151866830835,3,0,True,-0.34894323528248844,-0.34894323528248844,0.0,-0.34894323528248816
21,2047,10,3,0.5,0.3,0.476884556004925,3,0,True,-0.34894323528248844,-0.34894323528248844,0.0,-0.34894323528248794
21,2047,10,3,0.5,1.0,1.5896151866830834,3,0,True,-0.34894323528248844,-0.34894323528248844,0.0,-0.34894323528248705
21,2047,10,3,0.5,3.0,4.76884556004925,3,0,True,-0.34894323528248844,-0.34894323528248844,0.0,-0.3489432352824906
22,2048,10,3,0.5,0.0,0.0,10,7,False,-0.5793294797988421,-0.288095368422232,,-0.5793294797988422
22,2048,10,3,0.5,0.001,0.0016380751765653736,9,6,False,-0.5611592897618266,-0.288095368422232,,-0.5021885834054731
22,2048,10,3,0.5,0.01,0.016380751765653737,4,1,False,-0.35782232369153955,-0.288095368422232,,-0.34144157192588587
22,2048,10,3,0.5,0.03,0.04914225529696121,4,1,False,-0.35782232369153955,-0.288095368422232,,-0.30868006839457834
22,2048,10,3,0.5,0.1,0.16380751765653737,3,0,True,-0.288095368422232,-0.288095368422232,0.0,-0.2880953684222318
22,2048,10,3,0.5,0.3,0.49142255296961207,3,0,True,-0.288095368422232,-0.288095368422232,0.0,-0.28809536842223205
22,2048,10,3,0.5,1.0,1.6380751765653736,3,0,True,-0.288095368422232,-0.288095368422232,0.0,-0.2880953684222316
22,2048,10,3,0.5,3.0,4.914225529696121,3,0,True,-0.288095368422232,-0.288095368422232,0.0,-0.2880953684222405
23,2049,10,3,0.5,0.0,0.0,10,7,False,-0.578377856835255,-0.2505253970327065,,-0.578377856835255
23,2049,10,3,0.5,0.001,0.0015697978727164845,9,6,False,-0.5670933830340715,-0.2505253970327065,,-0.5105806596162781
23,2049,10,3,0.5,0.01,0.015697978727164847,5,2,False,-0.3990674734556281,-0.2505253970327065,,-0.33627555854696867
23,2049,10,3,0.5,0.03,0.04709393618149453,4,1,False,-0.3351893432011818,-0.2505253970327065,,-0.28809540701968733
23,2049,10,3,0.5,0.1,0.15697978727164846,3,0,True,-0.2505253970327065,-0.2505253970327065,0.0,-0.2505253970327065
23,2049,10,3,0.5,0.3,0.47093936181494533,3,0,True,-0.2505253970327065,-0.2505253970327065,0.0,-0.2505253970327068
23,2049,10,3,0.5,1.0,1.5697978727164845,3,0,True,-0.2505253970327065,-0.2505253970327065,0.0,-0.25052539703270593
23,2049,10,3,0.5,3.0,4.709393618149454,3,0,True,-0.2505253970327065,-0.2505253970327065,0.0,-0.2505253970327139
24,2050,10,3,0.5,0.0,0.0,8,5,False,-0.4934415478006077,-0.2798041375661296,,-0.49344154780060784
24,2050,10,3,0.5,0.001,0.001090528554398219,8,5,False,-0.4934415478006077,-0.2798041375661296,,-0.4661783339406523
24,2050,10,3,0.5,0.01,0.010905285543982192,5,2,False,-0.38503729586902874,-0.2798041375661296,,-0.34141615369309997
24,2050,10,3,0.5,0.03,0.03271585663194657,4,1,False,-0.3352873359303232,-0.2798041375661296,,-0.3025714792983766
24,2050,10,3,0.5,0.1,0.1090528554398219,3,0,True,-0.2798041375661296,-0.2798041375661296,0.0,-0.27980413756612954
24,2050,10,3,0.5,0.3,0.3271585663194657,3,0,True,-0.2798041375661296,-0.2798041375661296,0.0,-0.27980413756612976
24,2050,10,3,0.5,1.0,1.090528554398219,3,0,True,-0.2798041375661296,-0.2798041375661296,0.0,-0.27980413756612865
24,2050,10,3,0.5,3.0,3.2715856631946574,3,0,True,-0.2798041375661296,-0.2798041375661296,0.0,-0.27980413756612776
